pdb_id,entity_id,journal,journal_volume,journal_first_page,journal_last_page,citation_title,citation_doi,journal_page,citation_year,pubmed_id,citation_authors,status,revision_date,release_date,processing_site,deposition_site,deposition_date,superseded_by,obsoletes,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,experimental_method,experiment_data_available,title,entry_authors,sample_preparation_method,detector,detector_type,synchrotron_beamline,beam_source_name,diffraction_protocol,structure_determination_method,refinement_software,spacegroup,beam_source_type,synchrotron_site,structure_solution_software,data_reduction_software,data_scaling_software,phasing_method,SG_center_name,SG_full_name,crystallisation_reservoir,crystallisation_ph
5q0i,2,J. Comput. Aided Mol. Des.,32,,,"D3R Grand Challenge 2: blind prediction of protein-ligand poses, affinity rankings, and relative binding free energies.",10.1007/s10822-017-0088-4,1-20,2017,29204945,"Gaieb\, Z.,Liu\, S.,Gathiaka\, S.,Chiu\, M.,Yang\, H.,Shao\, C.,Feher\, V.A.,Walters\, W.P.,Kuhn\, B.,Rudolph\, M.G.,Burley\, S.K.,Gilson\, M.K.,Amaro\, R.E.",REL,2018-01-31T01:00:00Z,2017-07-05T01:00:00Z,RCSB,RCSB,2017-05-31T01:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,Q9UBK2,PRGC1_HUMAN,0.02,,,X-ray diffraction,y,Ligand binding to FARNESOID-X-RECEPTOR,"Rudolph\, M.G.,Kuhn\, B.,Shao\, C.,Burley\, S.K.,Ruf\, A.,Burger\, D.,Joseph\, C.,Yang\, H.,Benz\, J.,Thoma\, R.",Synthetic,CCD,MARMOSAIC 225 mm CCD,X10SA,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 21 21 21,,SLS,,,,MR,,,,
1es9,1,Protein Eng.,13,,,The functional implications of the dimerization of the catalytic subunits of the mammalian brain platelet-activating factor acetylhydrolase (Ib).,10.1093/protein/13.12.865,865-71,2000,11239086,"McMullen\, T.W.,Li\, J.,Sheffield\, P.J.,Aoki\, J.,Martin\, T.W.,Arai\, H.,Inoue\, K.,Derewenda\, Z.S.",REL,2018-01-31T01:00:00Z,2000-05-31T01:00:00Z,RCSB,RCSB,2000-04-07T01:00:00Z,,,PF13472,Lipase_GDSL_2,SGNH_hydrolase,GDSL-like Lipase/Acylhydrolase family,"IPR013830,IPR036514","SGNH hydrolase-type esterase domain,SGNH hydrolase superfamily",3.40.50.1110,Alpha Beta,3-Layer(aba) Sandwich,Rossmann fold,Rossmann fold,3.1.1.47,1-alkyl-2-acetylglycerophosphocholine esterase,1-alkyl-2-acetyl-sn-glycero-3-phosphocholine acetohydrolase,"Hydrolases,Acting on ester bonds,Carboxylic ester hydrolases,1-alkyl-2-acetylglycerophosphocholine esterase","GO:0016042,GO:0006629,GO:0007283,GO:0007420,GO:0003847,GO:0016787,GO:0042802,GO:0047179,GO:0005737","lipid catabolic process,lipid metabolic process,spermatogenesis,brain development","1-alkyl-2-acetylglycerophosphocholine esterase activity,hydrolase activity,identical protein binding,platelet-activating factor acetyltransferase activity",cytoplasm,Alpha and beta proteins (a/b),Flavodoxin-like,SGNH hydrolase,Acetylhydrolase,Q29460,PA1B3_BOVIN,1.0,,,X-ray diffraction,y,X-RAY CRYSTAL STRUCTURE OF R22K MUTANT OF THE MAMMALIAN BRAIN PLATELET-ACTIVATING FACTOR ACETYLHYDROLASES (PAF-AH),"McMullen\, T.W.P.,Martin\, T.W.,Inoue\, K.,Derewenda\, Z.S.,Aoki\, J.,Li\, J.,Sheffield\, P.J.,Arai\, H.",Natural,Image plate,MARRESEARCH,X9B,Synchrotron,Single wavelength,,,P 31 2 1,,NSLS,,,,,,,"AMMONIUM SULFATE,SODIUM ACETATE",6.8
1i6h,11,Science,292,,,Structural basis of transcription: an RNA polymerase II elongation complex at 3.3 A resolution.,10.1126/science.1059495,1876-82,2001,11313499,"Gnatt\, A.L.,Cramer\, P.,Fu\, J.,Bushnell\, D.A.,Kornberg\, R.D.",REL,2018-01-31T01:00:00Z,2001-04-23T01:00:00Z,RCSB,RCSB,2001-03-02T01:00:00Z,,,PF13656,RNA_pol_L_2,RBP11-like,RNA polymerase Rpb3/Rpb11 dimerisation domain,"IPR008193,IPR009025,IPR036603","DNA-directed RNA polymerase Rpb11\, 13-16kDa subunit\, conserved site,DNA-directed RNA polymerase\, RBP11-like dimerisation domain,RNA polymerase\, RBP11-like subunit",3.30.1360.10,Alpha Beta,2-Layer Sandwich,Gyrase A; domain 2,Gyrase A; domain 2,,,,,"GO:0006351,GO:0006366,GO:0001172,GO:0006369,GO:0005515,GO:0001055,GO:0003968,GO:0046983,GO:0003899,GO:0003677,GO:0005634,GO:0005665","transcription\, DNA-templated,transcription by RNA polymerase II,transcription\, RNA-templated,termination of RNA polymerase II transcription","protein binding,RNA polymerase II activity,RNA-directed 5'-3' RNA polymerase activity,protein dimerization activity,DNA-directed 5'-3' RNA polymerase activity,DNA binding","nucleus,DNA-directed RNA polymerase II\, core complex",Alpha and beta proteins (a+b),DCoH-like,RBP11-like subunits of RNA polymerase,RBP11/RpoL,P38902,RPB11_YEAST,1.0,,,X-ray diffraction,,RNA POLYMERASE II ELONGATION COMPLEX,"Gnatt\, A.L.,Cramer\, P.,Kornberg\, R.D.",Natural,CCD,ADSC QUANTUM 4,BL9-2,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,C 1 2 1,,SSRL,,,,,,,,
1ywh,1,EMBO J.,24,,,Crystal structure of the human urokinase plasminogen activator receptor bound to an antagonist peptide.,10.1038/sj.emboj.7600635,1655-63,2005,15861141,"Llinas\, P.,Le Du\, M.H.,Gardsvoll\, H.,Dano\, K.,Ploug\, M.,Gilquin\, B.,Stura\, E.A.,Menez\, A.",REL,2018-01-31T01:00:00Z,2005-05-10T01:00:00Z,RCSB,RCSB,2005-02-18T01:00:00Z,,,PF00021,UPAR_LY6,uPAR_Ly6_toxin,u-PAR/Ly-6 domain,"IPR016054,IPR033084","Ly-6 antigen/uPA receptor-like,Urokinase plasminogen activator surface receptor",2.10.60.10,Mainly Beta,Ribbon,CD59,CD59,,,,,"GO:0006935,GO:2001243,GO:0043388,GO:0043066,GO:0007596,GO:0007165,GO:0043312,GO:0016255,GO:2001268,GO:0038195,GO:0090200,GO:0042730,GO:0006928,GO:0001934,GO:0030162,GO:0045742,GO:0005515,GO:0019904,GO:0005102,GO:0019899,GO:0004872,GO:0030377,GO:0031225,GO:0005887,GO:0009986,GO:0019898,GO:0016020,GO:0071438,GO:0005925,GO:0070062,GO:0005788,GO:0005576,GO:0005789,GO:0042995,GO:0016021,GO:0035579,GO:0005886,GO:0030054","chemotaxis,negative regulation of intrinsic apoptotic signaling pathway,positive regulation of DNA binding,negative regulation of apoptotic process,blood coagulation,signal transduction,neutrophil degranulation,attachment of GPI anchor to protein,negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,urokinase plasminogen activator signaling pathway,positive regulation of release of cytochrome c from mitochondria,fibrinolysis,movement of cell or subcellular component,positive regulation of protein phosphorylation,regulation of proteolysis,positive regulation of epidermal growth factor receptor signaling pathway","protein binding,protein domain specific binding,receptor binding,enzyme binding,receptor activity,urokinase plasminogen activator receptor activity","anchored component of membrane,integral component of plasma membrane,cell surface,extrinsic component of membrane,membrane,invadopodium membrane,focal adhesion,extracellular exosome,endoplasmic reticulum lumen,extracellular region,endoplasmic reticulum membrane,cell projection,integral component of membrane,specific granule membrane,plasma membrane,cell junction",Small proteins,Snake toxin-like,Snake toxin-like,Extracellular domain of cell surface receptors,Q03405,UPAR_HUMAN,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",,,X-ray diffraction,y,crystal structure of urokinase plasminogen activator receptor,"Stura\, E.A.,Llinas\, P.,Menez\, A.,Le Du\, M.H.,Gilquin\, B.,Gardsvoll\, H.,Dano\, K.,Ploug\, M.",Engineered,CCD,ADSC QUANTUM 4,ID14-2,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 1 21 1,,ESRF,,,,,,,,
5q0y,1,J. Comput. Aided Mol. Des.,32,,,"D3R Grand Challenge 2: blind prediction of protein-ligand poses, affinity rankings, and relative binding free energies.",10.1007/s10822-017-0088-4,1-20,2017,29204945,"Gaieb\, Z.,Liu\, S.,Gathiaka\, S.,Chiu\, M.,Yang\, H.,Shao\, C.,Feher\, V.A.,Walters\, W.P.,Kuhn\, B.,Rudolph\, M.G.,Burley\, S.K.,Gilson\, M.K.,Amaro\, R.E.",REL,2018-01-31T01:00:00Z,2017-07-05T01:00:00Z,RCSB,RCSB,2017-05-31T01:00:00Z,,,PF00104,Hormone_recep,,Ligand-binding domain of nuclear hormone receptor,"IPR035500,IPR000536,IPR001728,IPR001723","Nuclear hormone receptor-like domain superfamily,Nuclear hormone receptor\, ligand-binding domain,Thyroid hormone receptor,Nuclear hormone receptor",,,,,,,,,,"GO:0006355,GO:0043401,GO:0004887,GO:0003707,GO:0003677,GO:0005634","regulation of transcription\, DNA-templated,steroid hormone mediated signaling pathway","thyroid hormone receptor activity,steroid hormone receptor activity,DNA binding",nucleus,,,,,Q96RI1,NR1H4_HUMAN,"0.47,0.47",,,X-ray diffraction,y,Ligand binding to FARNESOID-X-RECEPTOR,"Rudolph\, M.G.,Kuhn\, B.,Shao\, C.,Burley\, S.K.,Ruf\, A.,Burger\, D.,Joseph\, C.,Yang\, H.,Benz\, J.,Thoma\, R.",Engineered,CCD,MARMOSAIC 225 mm CCD,X10SA,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,C 2 2 21,,SLS,,,,MR,,,,
1qds,1,Eur. J. Biochem.,267,,,The ionization of a buried glutamic acid is thermodynamically linked to the stability of Leishmania mexicana triose phosphate isomerase.,10.1046/j.1432-1327.2000.01254.x,2516-24,2000,10785370,"Lambeir\, A.M.,Backmann\, J.,Ruiz-Sanz\, J.,Filimonov\, V.,Nielsen\, J.E.,Kursula\, I.,Norledge\, B.V.,Wierenga\, R.K.",REL,2018-01-31T01:00:00Z,2000-12-13T01:00:00Z,RCSB,RCSB,1999-07-10T01:00:00Z,,,PF00121,TIM,TIM_barrel,Triosephosphate isomerase,"IPR022896,IPR020861,IPR013785,IPR000652,IPR035990","Triosephosphate isomerase\, bacterial/eukaryotic,Triosephosphate isomerase\, active site,Aldolase-type TIM barrel,Triosephosphate isomerase,Triosephosphate isomerase superfamily",3.20.20.70,Alpha Beta,Alpha-Beta Barrel,TIM Barrel,Aldolase class I,5.3.1.1,Triose-phosphate isomerase,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,"Isomerases,Intramolecular oxidoreductases,Interconverting aldoses and ketoses,Triose-phosphate isomerase","GO:0006094,GO:0008152,GO:0006096,GO:0006098,GO:0016853,GO:0004807,GO:0005777,GO:0020015,GO:0005737","gluconeogenesis,metabolic process,glycolytic process,pentose-phosphate shunt","isomerase activity,triose-phosphate isomerase activity","peroxisome,glycosome,cytoplasm",Alpha and beta proteins (a/b),TIM beta/alpha-barrel,Triosephosphate isomerase (TIM),Triosephosphate isomerase (TIM),P48499,TPIS_LEIME,1.0,,,X-ray diffraction,y,SUPERSTABLE E65Q MUTANT OF LEISHMANIA MEXICANA TRIOSEPHOSPHATE ISOMERASE (TIM),"Filimonov\, V.,Kursula\, I.,Lambeir\, A.M.,Nielsen\, J.E.,Backmann\, J.,Norledge\, B.V.,Wierenga\, R.K.,Ruiz-Sanz\, J.,Vriend\, G.",Engineered,Image plate,MAR scanner 345 mm plate,,Rotating anode,Single wavelength,,,C 1 2 1,,,,,,,,,"POLYETHYLENE GLYCOL 6000,2-PHOSPHOGLYCOLATE",4.5
5q0w,2,J. Comput. Aided Mol. Des.,32,,,"D3R Grand Challenge 2: blind prediction of protein-ligand poses, affinity rankings, and relative binding free energies.",10.1007/s10822-017-0088-4,1-20,2017,29204945,"Gaieb\, Z.,Liu\, S.,Gathiaka\, S.,Chiu\, M.,Yang\, H.,Shao\, C.,Feher\, V.A.,Walters\, W.P.,Kuhn\, B.,Rudolph\, M.G.,Burley\, S.K.,Gilson\, M.K.,Amaro\, R.E.",REL,2018-01-31T01:00:00Z,2017-07-05T01:00:00Z,RCSB,RCSB,2017-05-31T01:00:00Z,,,,,,,,,,,,,,2.3.1.48,Histone acetyltransferase,Acetyl-CoA:[protein]-L-lysine acetyltransferase,"Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Histone acetyltransferase",,,,,,,,,Q15788,NCOA1_HUMAN,0.01,,,X-ray diffraction,y,Ligand binding to FARNESOID-X-RECEPTOR,"Rudolph\, M.G.,Kuhn\, B.,Shao\, C.,Burley\, S.K.,Ruf\, A.,Burger\, D.,Joseph\, C.,Yang\, H.,Benz\, J.,Thoma\, R.",Synthetic,CCD,MARMOSAIC 225 mm CCD,X10SA,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 65,,SLS,,,,MR,,,,
1fm9,2,Mol. Cell,5,,,Asymmetry in the PPARgamma/RXRalpha crystal structure reveals the molecular basis of heterodimerization among nuclear receptors.,10.1016/S1097-2765(00)80448-7,545-55,2000,10882139,"Gampe Jr.\, R.T.,Montana\, V.G.,Lambert\, M.H.,Miller\, A.B.,Bledsoe\, R.K.,Milburn\, M.V.,Kliewer\, S.A.,Willson\, T.M.,Xu\, H.E.",REL,2018-01-31T01:00:00Z,2001-02-16T01:00:00Z,RCSB,RCSB,2000-08-16T01:00:00Z,,,PF00104,Hormone_recep,,Ligand-binding domain of nuclear hormone receptor,"IPR035500,IPR000536,IPR003074,IPR001723","Nuclear hormone receptor-like domain superfamily,Nuclear hormone receptor\, ligand-binding domain,Peroxisome proliferator-activated receptor,Nuclear hormone receptor",1.10.565.10,Mainly Alpha,Orthogonal Bundle,Retinoid X Receptor,Retinoid X Receptor,,,,,"GO:0006355,GO:0043401,GO:0004879,GO:0003707,GO:0003677,GO:0005634","regulation of transcription\, DNA-templated,steroid hormone mediated signaling pathway","nuclear receptor activity,steroid hormone receptor activity,DNA binding",nucleus,All alpha proteins,Nuclear receptor ligand-binding domain,Nuclear receptor ligand-binding domain,Nuclear receptor ligand-binding domain,P37231,PPARG_HUMAN,0.54,,,X-ray diffraction,y,THE 2.1 ANGSTROM RESOLUTION CRYSTAL STRUCTURE OF THE HETERODIMER OF THE HUMAN RXRALPHA AND PPARGAMMA LIGAND BINDING DOMAINS RESPECTIVELY BOUND WITH 9-CIS RETINOIC ACID AND GI262570 AND CO-ACTIVATOR PEPTIDES.,"Milburn\, M.V.,Willson\, T.M.,Bledsoe\, R.K.,Gampe Jr.\, R.T.,Kliewer\, S.A.,Xu\, H.E.,Montana\, V.G.,Lambert\, M.H.,Miller\, A.B.",Engineered,CCD,MARRESEARCH,17-ID,Synchrotron,Single wavelength,,,P 21 21 21,,APS,,,,,,,"POLYETHYLENE GLYCOL 4000,SODIUM THIOCYANATE,ETHYLENE GLYCOL",7.5
5o31,41,To be published,,,,Mitochondrial complex I in the deactive state,,,,,"Blaza\, J.N.,Vinothkumar\, K.R.,Hirst\, J.",REL,2018-01-31T01:00:00Z,2018-01-17T01:00:00Z,PDBE,PDBE,2017-05-23T01:00:00Z,,,PF06747,CHCH,CHCH,CHCH domain,,,,,,,,,,,,,,,,,,,,P42029,NDUA8_BOVIN,0.99,,emd-3731,Electron Microscopy,,Mitochondrial complex I in the deactive state,"Vinothkumar\, K.R.,Blaza\, J.N.,Hirst\, J.",Natural,,,,,,,,P 1,,,,,,,,,,
2hg9,3,Biochemistry,46,,,Brominated lipids identify lipid binding sites on the surface of the reaction center from Rhodobacter sphaeroides.,10.1021/bi062154i,2909-16,2007,17315985,"Roszak\, A.W.,Gardiner\, A.T.,Isaacs\, N.W.,Cogdell\, R.J.",REL,2018-01-31T01:00:00Z,2007-03-27T01:00:00Z,RCSB,RCSB,2006-06-26T01:00:00Z,,,"PF05239,PF03967","PRC,PRCH",PRC-barrel,"PRC-barrel domain,Photosynthetic reaction centre\, H-chain N-terminal region","IPR037097,IPR011033,IPR005652,IPR027275,IPR015810","Photosynthetic reaction centre\, H subunit\, N-terminal domain superfamily,PRC-barrel-like superfamily,Photosynthetic reaction centre\, H subunit,PRC-barrel domain,Photosynthetic reaction centre\, H subunit\, N-terminal","3.90.50.10,4.10.540.10","Alpha Beta,Few Secondary Structures","Alpha-Beta Complex,Irregular","Photosynthetic Reaction Center; Chain H\, domain 2,Photosynthetic Reaction Center; Chain H\, domain 1","Photosynthetic Reaction Center\, subunit H\, domain 2,Photosynthetic Reaction Center\, subunit H\, domain 1",,,,,"GO:0022900,GO:0015979,GO:0018298,GO:0019684,GO:0055114,GO:0042314,GO:0016168,GO:0045156,GO:0042717,GO:0030077,GO:0016020,GO:0016021","electron transport chain,photosynthesis,protein-chromophore linkage,photosynthesis\, light reaction,oxidation-reduction process","bacteriochlorophyll binding,chlorophyll binding,electron transporter\, transferring electrons within the cyclic electron transport pathway of photosynthesis activity","plasma membrane-derived chromatophore membrane,plasma membrane light-harvesting complex,membrane,integral component of membrane",,,,,P0C0Y7,RCEH_RHOSH,1.0,,,X-ray diffraction,y,Reaction centre from Rhodobacter sphaeroides strain R-26.1 complexed with tetrabrominated phosphatidylcholine,"Gardiner\, A.T.,Cogdell\, R.J.,Roszak\, A.W.,Isaacs\, N.W.",Natural,CCD,ADSC QUANTUM 4,PX9.6,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 31 2 1,,SRS,,,,,,,,
1le9,3,J. Biol. Chem.,277,,,The x-ray crystal structure of the NF-kappa B p50.p65 heterodimer bound to the interferon beta -kappa B site.,10.1074/jbc.M200006200,24694-700,2002,11970948,"Berkowitz\, B.,Huang\, D.B.,Chen-Park\, F.E.,Sigler\, P.B.,Ghosh\, G.",REL,2018-01-31T01:00:00Z,2003-04-15T01:00:00Z,RCSB,RCSB,2002-04-09T01:00:00Z,,,PF00554,RHD_DNA_bind,P53-like,Rel homology DNA-binding domain,"IPR033926,IPR011539,IPR030495,IPR030492,IPR000451,IPR032397,IPR037059,IPR013783,IPR014756,IPR002909,IPR008967","NFkappaB IPT domain,Rel homology domain (RHD)\, DNA-binding domain,Transcription factor RelA (p65),Rel homology domain\, conserved site,NF-kappa-B/Dorsal,Rel homology dimerisation domain,Rel homology domain (RHD)\, DNA-binding domain superfamily,Immunoglobulin-like fold,Immunoglobulin E-set,IPT domain,p53-like transcription factor\, DNA-binding","2.60.40.10,2.60.40.340","Mainly Beta,Mainly Beta","Sandwich,Sandwich","Immunoglobulin-like,Immunoglobulin-like","Immunoglobulins,Immunoglobulin-like",,,,,"GO:0051092,GO:0006355,GO:0003700,GO:0003677,GO:0005634,GO:0071159,GO:0005737","positive regulation of NF-kappaB transcription factor activity,regulation of transcription\, DNA-templated","DNA binding transcription factor activity,DNA binding","nucleus,NF-kappaB complex,cytoplasm","All beta proteins,All beta proteins","Common fold of diphtheria toxin/transcription factors/cytochrome f,Immunoglobulin-like beta-sandwich","p53-like transcription factors,E set domains","Rel/Dorsal transcription factors\, DNA-binding domain,NF-kappa-B/REL/DORSAL transcription factors\, C-terminal domain",Q04207,TF65_MOUSE,"0.5,0.5",,,X-ray diffraction,,Crystal structure of a NF-kB heterodimer bound to the Ig/HIV-kB siti,"Benjamin\, B.,Huang\, D.B.,Sigler\, P.B.,Ghosh\, G.,Chen-Park\, F.E.",Engineered,Area detector,MARRESEARCH,,Rotating anode,Single wavelength,MOLECULAR REPLACEMENT,,C 1 2 1,,,,,,,,,,
5q0i,1,J. Comput. Aided Mol. Des.,32,,,"D3R Grand Challenge 2: blind prediction of protein-ligand poses, affinity rankings, and relative binding free energies.",10.1007/s10822-017-0088-4,1-20,2017,29204945,"Gaieb\, Z.,Liu\, S.,Gathiaka\, S.,Chiu\, M.,Yang\, H.,Shao\, C.,Feher\, V.A.,Walters\, W.P.,Kuhn\, B.,Rudolph\, M.G.,Burley\, S.K.,Gilson\, M.K.,Amaro\, R.E.",REL,2018-01-31T01:00:00Z,2017-07-05T01:00:00Z,RCSB,RCSB,2017-05-31T01:00:00Z,,,PF00104,Hormone_recep,,Ligand-binding domain of nuclear hormone receptor,"IPR035500,IPR000536,IPR001728,IPR001723","Nuclear hormone receptor-like domain superfamily,Nuclear hormone receptor\, ligand-binding domain,Thyroid hormone receptor,Nuclear hormone receptor",,,,,,,,,,"GO:0006355,GO:0043401,GO:0004887,GO:0003707,GO:0003677,GO:0005634","regulation of transcription\, DNA-templated,steroid hormone mediated signaling pathway","thyroid hormone receptor activity,steroid hormone receptor activity,DNA binding",nucleus,,,,,Q96RI1,NR1H4_HUMAN,0.47,,,X-ray diffraction,y,Ligand binding to FARNESOID-X-RECEPTOR,"Rudolph\, M.G.,Kuhn\, B.,Shao\, C.,Burley\, S.K.,Ruf\, A.,Burger\, D.,Joseph\, C.,Yang\, H.,Benz\, J.,Thoma\, R.",Engineered,CCD,MARMOSAIC 225 mm CCD,X10SA,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 21 21 21,,SLS,,,,MR,,,,
1g6r,2,Immunity,12,,,A functional hot spot for antigen recognition in a superagonist TCR/MHC complex.,10.1016/S1074-7613(00)80178-8,251-61,2000,10755612,"Degano\, M.,Garcia\, K.C.,Apostolopoulos\, V.,Rudolph\, M.G.,Teyton\, L.,Wilson\, I.A.",REL,2018-01-31T01:00:00Z,2000-11-15T01:00:00Z,RCSB,RCSB,2000-11-07T01:00:00Z,,,PF07654,C1-set,Ig,Immunoglobulin C1-set domain,"IPR003597,IPR003599,IPR013106,IPR013783,IPR036179,IPR007110","Immunoglobulin C1-set,Immunoglobulin subtype,Immunoglobulin V-set domain,Immunoglobulin-like fold,Immunoglobulin-like domain superfamily,Immunoglobulin-like domain",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,,,,,,,,,"All beta proteins,All beta proteins","Immunoglobulin-like beta-sandwich,Immunoglobulin-like beta-sandwich","Immunoglobulin,Immunoglobulin","V set domains (antibody variable domain-like),C1 set domains (antibody constant domain-like)",P01852,TCB1_MOUSE,"0.73,0.73",,,X-ray diffraction,,A FUNCTIONAL HOT SPOT FOR ANTIGEN RECOGNITION IN A SUPERAGONIST TCR/MHC COMPLEX,"Wilson\, I.A.,Degano\, M.,Rudolph\, M.G.,Teyton\, L.,Garcia\, K.C.,Apostolopoulos\, V.",Engineered,Image plate,MARRESEARCH,BL9-1,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 21 21 2,,SSRL,,,,,,,"TRIS ACETATE,POLYETHYLENE GLYCOL 6000",7.2
1qu9,1,Protein Sci.,8,,,A test case for structure-based functional assignment: the 1.2 A crystal structure of the yjgF gene product from Escherichia coli.,10.1110/ps.8.11.2428,2428-37,1999,10595546,"Volz\, K.",REL,2018-01-31T01:00:00Z,1999-12-01T01:00:00Z,RCSB,RCSB,1999-07-07T01:00:00Z,,,PF01042,Ribonuc_L-PSP,YjgF-like,Endoribonuclease L-PSP,"IPR019897,IPR006175,IPR006056,IPR035959","RidA\, conserved site,YjgF/YER057c/UK114 family,RidA family,RutC-like superfamily",3.30.1330.40,Alpha Beta,2-Layer Sandwich,60s Ribosomal Protein L30; Chain: A;,60s Ribosomal Protein L30; Chain: A;,3.5.99.10,2-iminobutanoate/2-iminopropanoate deaminase,2-iminobutanoate aminohydrolase,"Hydrolases,Acting on carbon-nitrogen bonds\, other than peptide bonds,In other compounds,2-iminobutanoate/2-iminopropanoate deaminase","GO:0008652,GO:0009097,GO:0009082,GO:0009636,GO:0016787,GO:0019239,GO:0042802,GO:0051082,GO:0005829,GO:0016020,GO:0005737","cellular amino acid biosynthetic process,isoleucine biosynthetic process,branched-chain amino acid biosynthetic process,response to toxic substance","hydrolase activity,deaminase activity,identical protein binding,unfolded protein binding","cytosol,membrane,cytoplasm",Alpha and beta proteins (a+b),Bacillus chorismate mutase-like,YjgF-like,YjgF/L-PSP,P0AF93,RIDA_ECOLI,"0.99,0.99,0.99",,,X-ray diffraction,y,1.2 A CRYSTAL STRUCTURE OF YJGF GENE PRODUCT FROM E. COLI,"Volz\, K.",Natural,CCD,BRUKER,17-ID,Synchrotron,Single wavelength,,,P 2 2 2,,APS,,,,,,,"TRIS CHLORIDE,AMMONIUM SULFATE",8.1
1g6r,4,Immunity,12,,,A functional hot spot for antigen recognition in a superagonist TCR/MHC complex.,10.1016/S1074-7613(00)80178-8,251-61,2000,10755612,"Degano\, M.,Garcia\, K.C.,Apostolopoulos\, V.,Rudolph\, M.G.,Teyton\, L.,Wilson\, I.A.",REL,2018-01-31T01:00:00Z,2000-11-15T01:00:00Z,RCSB,RCSB,2000-11-07T01:00:00Z,,,PF07654,C1-set,Ig,Immunoglobulin C1-set domain,"IPR003597,IPR015707,IPR003006,IPR013783,IPR036179,IPR007110","Immunoglobulin C1-set,Beta-2-Microglobulin,Immunoglobulin/major histocompatibility complex\, conserved site,Immunoglobulin-like fold,Immunoglobulin-like domain superfamily,Immunoglobulin-like domain",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,,,,,"GO:0071283,GO:1904434,GO:0002376,GO:0042493,GO:0010977,GO:0002237,GO:0045646,GO:0042026,GO:0006826,GO:0046686,GO:0006968,GO:0032092,GO:1904440,GO:0033216,GO:0019885,GO:0001916,GO:1900122,GO:0055072,GO:0002481,GO:0006955,GO:0002474,GO:0048260,GO:1904437,GO:0071281,GO:0002726,GO:1900121,GO:0033077,GO:0005515,GO:0042802,GO:0005829,GO:0042612,GO:0005794,GO:0016020,GO:0005925,GO:0070062,GO:0005615,GO:1990712,GO:0005576,GO:0030670,GO:0009897,GO:0005886","cellular response to iron(III) ion,positive regulation of ferrous iron binding,immune system process,response to drug,negative regulation of neuron projection development,response to molecule of bacterial origin,regulation of erythrocyte differentiation,protein refolding,iron ion transport,response to cadmium ion,cellular defense response,positive regulation of protein binding,positive regulation of ferrous iron import across plasma membrane,ferric iron import,antigen processing and presentation of endogenous peptide antigen via MHC class I,positive regulation of T cell mediated cytotoxicity,positive regulation of receptor binding,iron ion homeostasis,antigen processing and presentation of exogenous protein antigen via MHC class Ib\, TAP-dependent,immune response,antigen processing and presentation of peptide antigen via MHC class I,positive regulation of receptor-mediated endocytosis,positive regulation of transferrin receptor binding,cellular response to iron ion,positive regulation of T cell cytokine production,negative regulation of receptor binding,T cell differentiation in thymus","protein binding,identical protein binding","cytosol,MHC class I protein complex,Golgi apparatus,membrane,focal adhesion,extracellular exosome,extracellular space,HFE-transferrin receptor complex,extracellular region,phagocytic vesicle membrane,external side of plasma membrane,plasma membrane",All beta proteins,Immunoglobulin-like beta-sandwich,Immunoglobulin,C1 set domains (antibody constant domain-like),P01887,B2MG_MOUSE,"1.0,1.0",,,X-ray diffraction,,A FUNCTIONAL HOT SPOT FOR ANTIGEN RECOGNITION IN A SUPERAGONIST TCR/MHC COMPLEX,"Wilson\, I.A.,Degano\, M.,Rudolph\, M.G.,Teyton\, L.,Garcia\, K.C.,Apostolopoulos\, V.",Engineered,Image plate,MARRESEARCH,BL9-1,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 21 21 2,,SSRL,,,,,,,"TRIS ACETATE,POLYETHYLENE GLYCOL 6000",7.2
